,min_sample,epsilon,n_cluster,silhouette_score,calinski_harabasz_score
0,1,0.1,846,0.9712294673967148,1.0
1,1,0.2,846,0.9712294673967148,1.0
2,1,0.3,846,0.9712294673967148,1.0
3,1,0.4,846,0.9712294673967148,1.0
4,1,0.5,846,0.9712294673967148,1.0
5,1,0.6,846,0.9712294673967148,1.0
6,1,0.7,846,0.9712294673967148,1.0
7,1,0.8,846,0.9712294673967148,1.0
8,1,0.9,846,0.9712294673967148,1.0
9,1,1.0,31,0.1325490079666775,201.13290386327944
10,1,1.1,31,0.1325490079666775,201.13290386327944
11,1,1.2,31,0.1325490079666775,201.13290386327944
12,1,1.3,31,0.1325490079666775,201.13290386327944
13,1,1.4,31,0.1325490079666775,201.13290386327944
14,1,1.5,2,0.5653552962420627,18.419908697301338
15,1,1.6,2,0.5653552962420627,18.419908697301338
16,1,1.7,2,0.5653552962420627,18.419908697301338
17,1,1.8,2,0.5653552962420627,18.419908697301338
18,1,1.9,2,0.5653552962420627,18.419908697301338
19,6,0.1,267,0.8166163514564957,191.08031621916285
20,6,0.2,267,0.8166163514564957,191.08031621916285
21,6,0.3,267,0.8166163514564957,191.08031621916285
22,6,0.4,267,0.8166163514564957,191.08031621916285
23,6,0.5,267,0.8166163514564957,191.08031621916285
24,6,0.6,267,0.8166163514564957,191.08031621916285
25,6,0.7,267,0.8166163514564957,191.08031621916285
26,6,0.8,267,0.8166163514564957,191.08031621916285
27,6,0.9,267,0.8166163514564957,191.08031621916285
28,6,1.0,7,0.20843128522732968,988.0215924157776
29,6,1.1,7,0.20843128522732968,988.0215924157776
30,6,1.2,7,0.20843128522732968,988.0215924157776
31,6,1.3,7,0.20843128522732968,988.0215924157776
32,6,1.4,7,0.20843128522732968,988.0215924157776
33,6,1.5,2,0.5653552962420627,18.419908697301338
34,6,1.6,2,0.5653552962420627,18.419908697301338
35,6,1.7,2,0.5653552962420627,18.419908697301338
36,6,1.8,2,0.5653552962420627,18.419908697301338
37,6,1.9,2,0.5653552962420627,18.419908697301338
38,11,0.1,170,0.7043333009816872,175.14951313544157
39,11,0.2,170,0.7043333009816872,175.14951313544157
40,11,0.3,170,0.7043333009816872,175.14951313544157
41,11,0.4,170,0.7043333009816872,175.14951313544157
42,11,0.5,170,0.7043333009816872,175.14951313544157
43,11,0.6,170,0.7043333009816872,175.14951313544157
44,11,0.7,170,0.7043333009816872,175.14951313544157
45,11,0.8,170,0.7043333009816872,175.14951313544157
46,11,0.9,170,0.7043333009816872,175.14951313544157
47,11,1.0,7,0.20782017958092677,991.2688535165148
48,11,1.1,7,0.20782017958092677,991.2688535165148
49,11,1.2,7,0.20782017958092677,991.2688535165148
50,11,1.3,7,0.20782017958092677,991.2688535165148
51,11,1.4,7,0.20782017958092677,991.2688535165148
52,11,1.5,2,0.49759781716648965,18.0683760175769
53,11,1.6,2,0.49759781716648965,18.0683760175769
54,11,1.7,2,0.49759781716648965,18.0683760175769
55,11,1.8,2,0.5653552962420627,18.419908697301338
56,11,1.9,2,0.5653552962420627,18.419908697301338
57,16,0.1,137,0.6387916092095535,168.8723634230002
58,16,0.2,137,0.6387916092095535,168.8723634230002
59,16,0.3,137,0.6387916092095535,168.8723634230002
60,16,0.4,137,0.6387916092095535,168.8723634230002
61,16,0.5,137,0.6387916092095535,168.8723634230002
62,16,0.6,137,0.6387916092095535,168.8723634230002
63,16,0.7,137,0.6387916092095535,168.8723634230002
64,16,0.8,137,0.6387916092095535,168.8723634230002
65,16,0.9,137,0.6387916092095535,168.8723634230002
66,16,1.0,8,0.18816940527478482,866.6634162893031
67,16,1.1,8,0.18816940527478482,866.6634162893031
68,16,1.2,8,0.18816940527478482,866.6634162893031
69,16,1.3,8,0.18816940527478482,866.6634162893031
70,16,1.4,8,0.18816940527478482,866.6634162893031
71,16,1.5,2,0.4354562419034844,25.05839082070973
72,16,1.6,2,0.4354562419034844,25.05839082070973
73,16,1.7,2,0.4354562419034844,25.05839082070973
74,16,1.8,2,0.5653552962420627,18.419908697301338
75,16,1.9,2,0.5653552962420627,18.419908697301338
76,21,0.1,109,0.5654399541934181,163.19097170095426
77,21,0.2,109,0.5654399541934181,163.19097170095426
78,21,0.3,109,0.5654399541934181,163.19097170095426
79,21,0.4,109,0.5654399541934181,163.19097170095426
80,21,0.5,109,0.5654399541934181,163.19097170095426
81,21,0.6,109,0.5654399541934181,163.19097170095426
82,21,0.7,109,0.5654399541934181,163.19097170095426
83,21,0.8,109,0.5654399541934181,163.19097170095426
84,21,0.9,109,0.5654399541934181,163.19097170095426
85,21,1.0,8,0.18275138821968226,866.3411022547218
86,21,1.1,8,0.18275138821968226,866.3411022547218
87,21,1.2,8,0.18275138821968226,866.3411022547218
88,21,1.3,8,0.18275138821968226,866.3411022547218
89,21,1.4,8,0.18275138821968226,866.3411022547218
90,21,1.5,2,0.4354562419034844,25.05839082070973
91,21,1.6,2,0.4354562419034844,25.05839082070973
92,21,1.7,2,0.4354562419034844,25.05839082070973
93,21,1.8,2,0.5653552962420627,18.419908697301338
94,21,1.9,2,0.5653552962420627,18.419908697301338
95,26,0.1,91,0.5098053486284507,162.7570389222503
96,26,0.2,91,0.5098053486284507,162.7570389222503
97,26,0.3,91,0.5098053486284507,162.7570389222503
98,26,0.4,91,0.5098053486284507,162.7570389222503
99,26,0.5,91,0.5098053486284507,162.7570389222503
100,26,0.6,91,0.5098053486284507,162.7570389222503
101,26,0.7,91,0.5098053486284507,162.7570389222503
102,26,0.8,91,0.5098053486284507,162.7570389222503
103,26,0.9,91,0.5098053486284507,162.7570389222503
104,26,1.0,8,0.18127131806843455,866.1094155494388
105,26,1.1,8,0.18127131806843455,866.1094155494388
106,26,1.2,8,0.18127131806843455,866.1094155494388
107,26,1.3,8,0.18127131806843455,866.1094155494388
108,26,1.4,8,0.18127131806843455,866.1094155494388
109,26,1.5,2,0.4122052663127008,29.157345788091526
110,26,1.6,2,0.4122052663127008,29.157345788091526
111,26,1.7,2,0.4122052663127008,29.157345788091526
112,26,1.8,2,0.5653552962420627,18.419908697301338
113,26,1.9,2,0.5653552962420627,18.419908697301338
114,31,0.1,78,0.4595274754233156,163.17842972634193
115,31,0.2,78,0.4595274754233156,163.17842972634193
116,31,0.3,78,0.4595274754233156,163.17842972634193
117,31,0.4,78,0.4595274754233156,163.17842972634193
118,31,0.5,78,0.4595274754233156,163.17842972634193
119,31,0.6,78,0.4595274754233156,163.17842972634193
120,31,0.7,78,0.4595274754233156,163.17842972634193
121,31,0.8,78,0.4595274754233156,163.17842972634193
122,31,0.9,78,0.4595274754233156,163.17842972634193
123,31,1.0,9,0.17440956448043096,776.7540737166704
124,31,1.1,9,0.17440956448043096,776.7540737166704
125,31,1.2,9,0.17440956448043096,776.7540737166704
126,31,1.3,9,0.17440956448043096,776.7540737166704
127,31,1.4,9,0.17440956448043096,776.7540737166704
128,31,1.5,2,0.4000215797383951,30.542846302386057
129,31,1.6,2,0.4000215797383951,30.542846302386057
130,31,1.7,2,0.4000215797383951,30.542846302386057
131,31,1.8,2,0.5653552962420627,18.419908697301338
132,31,1.9,2,0.5653552962420627,18.419908697301338
133,36,0.1,67,0.41220826195155197,165.0173053887302
134,36,0.2,67,0.41220826195155197,165.0173053887302
135,36,0.3,67,0.41220826195155197,165.0173053887302
136,36,0.4,67,0.41220826195155197,165.0173053887302
137,36,0.5,67,0.41220826195155197,165.0173053887302
138,36,0.6,67,0.41220826195155197,165.0173053887302
139,36,0.7,67,0.41220826195155197,165.0173053887302
140,36,0.8,67,0.41220826195155197,165.0173053887302
141,36,0.9,67,0.41220826195155197,165.0173053887302
142,36,1.0,9,0.17278120273363226,777.2034260997549
143,36,1.1,9,0.17278120273363226,777.2034260997549
144,36,1.2,9,0.17278120273363226,777.2034260997549
145,36,1.3,9,0.17278120273363226,777.2034260997549
146,36,1.4,9,0.17278120273363226,777.2034260997549
147,36,1.5,2,0.4029540663961002,33.12257985247606
148,36,1.6,2,0.4029540663961002,33.12257985247606
149,36,1.7,2,0.4029540663961002,33.12257985247606
150,36,1.8,2,0.5653552962420627,18.419908697301338
151,36,1.9,2,0.5653552962420627,18.419908697301338
152,41,0.1,59,0.37165720542421926,164.77139609511852
153,41,0.2,59,0.37165720542421926,164.77139609511852
154,41,0.3,59,0.37165720542421926,164.77139609511852
155,41,0.4,59,0.37165720542421926,164.77139609511852
156,41,0.5,59,0.37165720542421926,164.77139609511852
157,41,0.6,59,0.37165720542421926,164.77139609511852
158,41,0.7,59,0.37165720542421926,164.77139609511852
159,41,0.8,59,0.37165720542421926,164.77139609511852
160,41,0.9,59,0.37165720542421926,164.77139609511852
161,41,1.0,9,0.1689186981837167,768.7344123733191
162,41,1.1,9,0.1689186981837167,768.7344123733191
163,41,1.2,9,0.1689186981837167,768.7344123733191
164,41,1.3,9,0.1689186981837167,768.7344123733191
165,41,1.4,9,0.1689186981837167,768.7344123733191
166,41,1.5,2,0.40781895476164287,57.0369806635541
167,41,1.6,2,0.40781895476164287,57.0369806635541
168,41,1.7,2,0.40781895476164287,57.0369806635541
169,41,1.8,2,0.5653552962420627,18.419908697301338
170,41,1.9,2,0.5653552962420627,18.419908697301338
171,46,0.1,53,0.3340724099484912,166.2361363869359
172,46,0.2,53,0.3340724099484912,166.2361363869359
173,46,0.3,53,0.3340724099484912,166.2361363869359
174,46,0.4,53,0.3340724099484912,166.2361363869359
175,46,0.5,53,0.3340724099484912,166.2361363869359
176,46,0.6,53,0.3340724099484912,166.2361363869359
177,46,0.7,53,0.3340724099484912,166.2361363869359
178,46,0.8,53,0.3340724099484912,166.2361363869359
179,46,0.9,53,0.3340724099484912,166.2361363869359
180,46,1.0,9,0.17107099901142564,771.6685405256208
181,46,1.1,9,0.17107099901142564,771.6685405256208
182,46,1.2,9,0.17107099901142564,771.6685405256208
183,46,1.3,9,0.17107099901142564,771.6685405256208
184,46,1.4,9,0.17107099901142564,771.6685405256208
185,46,1.5,2,0.3905849589726246,58.58554839816323
186,46,1.6,2,0.3905849589726246,58.58554839816323
187,46,1.7,2,0.3905849589726246,58.58554839816323
188,46,1.8,2,0.5653552962420627,18.419908697301338
189,46,1.9,2,0.5653552962420627,18.419908697301338
190,51,0.1,46,0.29137933879629724,169.41070678655853
191,51,0.2,46,0.29137933879629724,169.41070678655853
192,51,0.3,46,0.29137933879629724,169.41070678655853
193,51,0.4,46,0.29137933879629724,169.41070678655853
194,51,0.5,46,0.29137933879629724,169.41070678655853
195,51,0.6,46,0.29137933879629724,169.41070678655853
196,51,0.7,46,0.29137933879629724,169.41070678655853
197,51,0.8,46,0.29137933879629724,169.41070678655853
198,51,0.9,46,0.29137933879629724,169.41070678655853
199,51,1.0,9,0.16811016213095836,768.4466666657215
200,51,1.1,9,0.16811016213095836,768.4466666657215
201,51,1.2,9,0.16811016213095836,768.4466666657215
202,51,1.3,9,0.16811016213095836,768.4466666657215
203,51,1.4,9,0.16811016213095836,768.4466666657215
204,51,1.5,2,0.3905849589726246,58.58554839816323
205,51,1.6,2,0.3905849589726246,58.58554839816323
206,51,1.7,2,0.3905849589726246,58.58554839816323
207,51,1.8,2,0.5653552962420627,18.419908697301338
208,51,1.9,2,0.5653552962420627,18.419908697301338
209,56,0.1,42,0.26090374064885474,170.37176577518102
210,56,0.2,42,0.26090374064885474,170.37176577518102
211,56,0.3,42,0.26090374064885474,170.37176577518102
212,56,0.4,42,0.26090374064885474,170.37176577518102
213,56,0.5,42,0.26090374064885474,170.37176577518102
214,56,0.6,42,0.26090374064885474,170.37176577518102
215,56,0.7,42,0.26090374064885474,170.37176577518102
216,56,0.8,42,0.26090374064885474,170.37176577518102
217,56,0.9,42,0.26090374064885474,170.37176577518102
218,56,1.0,7,0.1754858123937922,971.8667390640312
219,56,1.1,7,0.1754858123937922,971.8667390640312
220,56,1.2,7,0.1754858123937922,971.8667390640312
221,56,1.3,7,0.1754858123937922,971.8667390640312
222,56,1.4,7,0.1754858123937922,971.8667390640312
223,56,1.5,2,0.37638991569661273,59.881518204252714
224,56,1.6,2,0.37638991569661273,59.881518204252714
225,56,1.7,2,0.37638991569661273,59.881518204252714
226,56,1.8,2,0.5271411021576174,20.3489763304732
227,56,1.9,2,0.5271411021576174,20.3489763304732
228,61,0.1,39,0.23648781450184342,172.14751660094444
229,61,0.2,39,0.23648781450184342,172.14751660094444
230,61,0.3,39,0.23648781450184342,172.14751660094444
231,61,0.4,39,0.23648781450184342,172.14751660094444
